city,nr_per_city,average_price
Bastogne,145,181.2344827586207
Philippeville,85,162.24705882352941
Verviers,631,159.26782884310617
Ieper,143,151.25174825174824
Waremme,51,150.31372549019608
Dinant,286,143.7762237762238
Oudenaarde,110,141.88181818181818
Neufchâteau,160,140.5375
Ath,47,134.31914893617022
Tielt,24,128.66666666666666
Tongeren,173,127.3699421965318
Brugge,1094,126.30164533820842
Huy,99,125.3030303030303
Marche-en-Famenne,266,123.78195488721805
Veurne,350,119.18857142857142
Eeklo,43,114.79069767441861
Diksmuide,27,114.37037037037037
Moeskroen,28,112.85714285714286
Mechelen,190,112.19473684210526
Namur,286,110.73076923076923
Thuin,81,106.58024691358025
Kortrijk,107,102.74766355140187
Oostende,527,101.51423149905123
Hasselt,151,99.63576158940397
Maaseik,93,98.05376344086021
Antwerpen,1610,95.672049689441
Aalst,74,94.85135135135135
Nivelles,505,94.05148514851486
Gent,1206,90.47844112769486
Sint-Niklaas,52,86.71153846153847
Virton,56,86.53571428571429
Tournai,97,86.3917525773196
Halle-Vilvoorde,471,85.40764331210191
Dendermonde,45,81.37777777777778
Mons,129,79.32558139534883
Liège,667,79.13193403298351
Turnhout,130,78.08461538461539
Soignies,58,77.72413793103448
Charleroi,118,76.91525423728814
Arlon,46,76.02173913043478
Leuven,434,75.69815668202764
Brussel,6715,75.08577810871184
Roeselare,41,74.85365853658537
